symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
anv,CTCP Nam Việt,16.75,-0.20,"1,102,800","1,619,502","267,079,250","2,257",https://www.cophieu68.vn/chart/chart.php?id=anv
scr,CTCP Địa ốc Sài Gòn Thương Tín,5.70,0.15,"2,092,600","1,893,154","430,595,036","2,196",https://www.cophieu68.vn/chart/chart.php?id=scr
nbb,CTCP Đầu tư Năm Bảy Bảy,21.70,-0.20,"13,700","76,443","100,336,256","2,194",https://www.cophieu68.vn/chart/chart.php?id=nbb
tta,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,12.80,-0.10,"631,000","774,012","170,057,593","2,194",https://www.cophieu68.vn/chart/chart.php?id=tta
tv2,CTCP Tư vấn Xây dựng Điện 2,32.15,-0.15,"259,400","548,350","67,526,165","2,181",https://www.cophieu68.vn/chart/chart.php?id=tv2
tnh,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,19.70,-0.05,"476,700","726,949","144,181,270","2,177",https://www.cophieu68.vn/chart/chart.php?id=tnh
lcg,CTCP Licogi 16,10.90,-0.10,"3,087,300","3,001,502","193,091,170","2,102",https://www.cophieu68.vn/chart/chart.php?id=lcg
sgr,CTCP Địa ốc Sài Gòn,35,0,"41,400","144,628","60,000,000","2,100",https://www.cophieu68.vn/chart/chart.php?id=sgr
lix,CTCP Bột Giặt Lix,31.60,-0.25,"58,400","39,546","64,800,000","2,064",https://www.cophieu68.vn/chart/chart.php?id=lix
ntl,CTCP Phát triển Đô thị Từ Liêm,17.40,0.15,"920,100","1,830,259","121,979,900","2,059",https://www.cophieu68.vn/chart/chart.php?id=ntl
yeg,CTCP Tập đoàn Yeah1,14.80,0,"2,008,100","2,080,396","191,802,036","2,028",https://www.cophieu68.vn/chart/chart.php?id=yeg
